relation_id,sentence_id,description,is_true,expectation,words,c_start,c_length,p_start,p_length,p_length,features,weights
151743@44_9-151743@44_12,151743@44,Blanche of Castile-John,,0.948,"{Blanche,instead,forced,her,father,to,give,Yolande,to,Blanche,'s,son,John,.}",12,1,9,1,1,"{INV_BETW_[poss]son,INV_BETW_D_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
811899@16_12-811899@16_17,811899@16,Sverker II of Sweden-John,,0.93,"{In,1202,Earl,Birger,died,and,the,late,jarl,'s,grandson,"","",Sverker,'s,one-year,old,son,John,received,the,title,of,Jarl,from,his,father,.}",17,1,12,1,1,"{INV_BETW_[poss]son,INV_BETW_D_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
1009794@186_0-1009794@186_5,1009794@186,Steve Spurrier-Scott,,0.946,"{Spurrier,'s,younger,son,"","",Scott,"","",played,wide,receiver,for,the,Gamecocks,through,the,2009,season,"","",and,his,older,son,"","",Steve,"","",Jr.,"","",is,currently,the,Gamecocks,',receivers,coach,.}",5,1,0,1,1,"{""INV_BETW_[appos son poss]son"",""INV_BETW_D_[appos son poss]son"",""INV_BETW_L_[appos poss]son"",num_words_between_bucket=0}","{0.858152,0.858152,0.858152,0.203419}"
15327682@19_4-15327682@19_8,15327682@19,Waleed Zuaiter-Laith Zuaiter,t,0.944,"{Alongside,Bobby,Cannavale,"","",Waleed,'s,son,"","",Laith,Zuaiter,"","",was,featured,in,the,pilot,.}",8,2,4,1,1,"{""INV_BETW_D_[appos son poss]son"",""INV_BETW_L_[appos poss]son"",""INV_BETW_[appos son poss]son"",num_words_between_bucket=0}","{0.858152,0.858152,0.858152,0.203419}"
356471@53_0-356471@53_4,356471@53,Norman Lindsay-Jack Lindsay,t,0.954,"{Lindsay,'s,son,"","",Jack,Lindsay,"","",emigrated,to,England,"","",where,he,set,up,Fanfrolico,Press,"","",which,issued,works,illustrated,by,Lindsay,.}",4,2,0,1,1,"{""INV_BETW_L_[appos poss]son"",""INV_BETW_[appos son poss]son"",""INV_BETW_D_[appos son poss]son"",num_words_between_bucket=0}","{0.858152,0.858152,0.858152,0.203419}"
8835229@33_0-8835229@33_3,8835229@33,Andrew Leo Bettwy-Samuel,,0.94,"{Bettwy,'s,son,Samuel,is,a,California,lawyer-advocate,for,immigration,reform,that,includes,the,elimination,of,visa,quotas,for,Mexicans,"","",and,his,daughter,Maria,is,an,immigration,lawyer,in,Phoenix,"","",Arizona,.}",3,1,0,1,1,"{INV_BETW_D_[poss]son,INV_BETW_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
151603@146_6-151603@146_9,151603@146,Dean Martin-Dean Paul Martin,t,0.946,"{This,"","",with,the,death,of,Martin,'s,son,Dean,Paul,Martin,a,few,years,later,"","",helped,bring,the,two,men,together,.}",9,3,6,1,1,"{INV_BETW_[poss]son,INV_BETW_D_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
1819807@93_4-1819807@93_8,1819807@93,Mel Tillis-Pam Tillis,t,0.904,"{In,the,1990s,"","",Tillis,'s,daughter,"","",Pam,Tillis,"","",became,a,successful,country,music,singer,in,her,own,right,"","",having,hits,like,``,Maybe,It,Was,Memphis,'',and,``,Shake,the,Sugar,Tree,.,''}",8,2,4,1,1,"{""INV_BETW_L_[appos poss]daughter"",""INV_BETW_D_[appos daughter poss]daughter"",""INV_BETW_[appos daughter poss]daughter"",num_words_between_bucket=0}","{0.710435,0.635532,0.635532,0.203419}"
1301058@80_5-1301058@80_9,1301058@80,Princess Victoria of Hesse and by Rhine-George,,0.954,"{Further,tragedy,soon,followed,when,Victoria,'s,son,"","",George,"","",died,of,bone,cancer,the,following,year,.}",9,1,5,1,1,"{""INV_BETW_D_[appos son poss]son"",""INV_BETW_[appos son poss]son"",""INV_BETW_L_[appos poss]son"",num_words_between_bucket=0}","{0.858152,0.858152,0.858152,0.203419}"
9019330@8_0-9019330@8_3,9019330@8,Elijah Pitts-Ron Pitts,t,0.936,"{Pitts,',son,Ron,Pitts,is,currently,a,sportscaster,for,the,Fox,television,network,.}",3,2,0,1,1,"{INV_BETW_D_[poss]son,INV_BETW_[poss]son,INV_BETW_L_[poss]son,num_words_between_bucket=0}","{0.866175,0.866175,0.866174,0.203419}"
